id_sinistro;tipo_registro;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;hora_sinistro;ano_mes_sinistro;dia_da_semana;turno;logradouro;numero_logradouro;tipo_via;tipo_local;latitude;longitude;cod_ibge;municipio;regiao_administrativa;administracao;conservacao;circunscricao;tp_sinistro_primario;qtd_pedestre;qtd_bicicleta;qtd_motocicleta;qtd_automovel;qtd_onibus;qtd_caminhao;qtd_veic_outros;qtd_veic_nao_disponivel;qtd_gravidade_fatal;qtd_gravidade_grave;qtd_gravidade_leve;qtd_gravidade_ileso;qtd_gravidade_nao_disponivel;tp_sinistro_atropelamento;tp_sinistro_colisao_frontal;tp_sinistro_colisao_traseira;tp_sinistro_colisao_lateral;tp_sinistro_colisao_transversal;tp_sinistro_colisao_outros;tp_sinistro_choque;tp_sinistro_capotamento;tp_sinistro_engavetamento;tp_sinistro_tombamento;tp_sinistro_outros;tp_sinistro_nao_disponivel
1406875;NOTIFICACAO;01/01/2022;2022;01;01;07:00;2022/01;Sábado;MANHA;RUA PRAIA GRANDE;283.0;VIAS URBANAS;NAO DISPONIVEL;-23,43323277;-46,31721901;3523107;ITAQUAQUECETUBA;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1285593;SINISTRO NAO FATAL;01/01/2022;2022;01;01;05:22;2022/01;Sábado;MADRUGADA;SP 015 - TIETE;100.0;ESTRADAS E RODOVIAS;PUBLICO;-23,5225111;-46,6171463;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;ESTADUAL;CHOQUE;;;;1;;;;;;;2;;;;;;;;;S;;;;S;
1494531;NOTIFICACAO;01/01/2022;2022;01;01;08:30;2022/01;Sábado;MANHA;AVENIDA DEPUTADO CANTIDIO SAMPAIO;1621.0;VIAS URBANAS;NAO DISPONIVEL;-23,46054889;-46,68431712;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1374015;SINISTRO NAO FATAL;01/01/2022;2022;01;01;06:45;2022/01;Sábado;MANHA;RUA OTELO AUGUSTO RIBEIRO;771.0;VIAS URBANAS;PUBLICO;-23,5698658;-46,4086072;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;CHOQUE;;;;1;;;;1;;;2;;1;;;;;;;S;;;;S;
1528959;NOTIFICACAO;01/01/2022;2022;01;01;09:59;2022/01;Sábado;MANHA;ALAMEDA FRANCISCO CRISTÓFANI;610.0;VIAS URBANAS;NAO DISPONIVEL;-21,19601676;-47,74222604;3543402;RIBEIRAO PRETO;RIBEIRÃO PRETO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1579675;NOTIFICACAO;01/01/2022;2022;01;01;10:55;2022/01;Sábado;MANHA;ARMANDO VIANA IGREJA;1.0;VIAS URBANAS;NAO DISPONIVEL;-21,4262107;-50,07004468;3537305;PENAPOLIS;ARAÇATUBA;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1510855;SINISTRO NAO FATAL;01/01/2022;2022;01;01;08:50;2022/01;Sábado;MANHA;AVENIDA SENADOR TEOTONIO VILELA;2004.0;VIAS URBANAS;PUBLICO;-23,71883483;-46,69894162;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;COLISAO;;;1;1;;;;;;;1;;;;;;;S;;;;;;;
1670436;NOTIFICACAO;01/01/2022;2022;01;01;12:38;2022/01;Sábado;TARDE;SP 129;1.0;ESTRADAS E RODOVIAS;NAO DISPONIVEL;-23,58414689;-48,04195747;3522307;ITAPETININGA;SOROCABA;NAO DISPONIVEL;NAO DISPONIVEL;ESTADUAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1550944;SINISTRO NAO FATAL;01/01/2022;2022;01;01;10:38;2022/01;Sábado;MANHA;RUA UCILLA LORENCINI TAFARELO;238.0;VIAS URBANAS;PUBLICO;-23,1571295;-46,9111805;3525904;JUNDIAI;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;CHOQUE;;;;1;;;;1;;;3;;1;;;;;;;S;;;;S;
1692796;NOTIFICACAO;01/01/2022;2022;01;01;14:54;2022/01;Sábado;TARDE;AVENIDA ANTÔNIO KOI CHI LGARASHI;285.0;VIAS URBANAS;NAO DISPONIVEL;-21,36723453;-48,24244343;3518602;GUARIBA;RIBEIRÃO PRETO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
